TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
0.557278912,0,0,0,0,0,0,0,0,0,0,0,0
0.603718821,0,0,0,0,0,0,0,0,0,0,0,0
0.650158730,0,0,0,0,0,0,0,0,0,0,0,0
0.696598639,0,0,0,0,0,0,0,0,0,0,0,0
0.743038549,0,0,0,0,0,0,0,0,0,0,0,0
0.789478458,0,0,0,0,0,0,0,0,0,0,0,0
0.835918367,0,0,0,0,0,0,0,0,0,0,0,0
0.882358277,0,0,0,0,0,0,0,0,0,0,0,0
0.928798186,0,0,0,0,0,0,0,0,0,0,0,0
0.975238095,0,0,0,0,0,0,0,0,0,0,0,0
1.021678005,0,0,0,0,0,0,0,0,0,0,0,0
1.068117914,0,0,0,0,0,0,0,0,0,0,0,0
1.114557823,0,0,0,0,0,0,0,0,0,0,0,0
1.160997732,0,0,0,0,0,0,0,0,0,0,0,0
1.207437642,0,0,0,0,0,0,0,0,0,0,0,0
1.253877551,0,0,0,0,0,0,0,0,0,0,0,0
1.300317460,0,0,0,0,0,0,0,0,0,0,0,0
1.346757370,0,0,0,0,0,0,0,0,0,0,0,0
1.393197279,0,0,0,0,0,0,0,0,0,0,0,0
1.439637188,0,0,0,0,0,0,0,0,0,0,0,0
1.486077098,0,0,0,0,0,0,0,0,0,0,0,0
1.532517007,0.000393641,0.531067,1.01185,0.470092,0,0.375394,1.35038,0.742585,0.448383,1.19465,0.922807,0.180858
1.578956916,0.402771,0.197896,1.01844,1.02173,0,0.0506895,0.258247,0.801552,0.642048,1.32619,1.19817,0.456775
1.625396825,0.533788,0.279813,1.00118,1.45252,0,0.142552,0.00131102,0.523871,0.541328,1.29315,1.4465,0.440907
1.671836735,0.51584,0.318954,0.944931,1.6847,0.0105427,0.59913,0.0414006,0.398292,0.513025,1.09219,1.60659,0.474693
1.718276644,0.508865,0.245706,0.650774,1.72706,0.073503,0.839234,0.196036,0.588048,0.576832,0.759247,1.7772,0.483088
1.764716553,0.522272,0.151054,0.345074,1.51583,0.146183,1.01121,0.177498,0.860926,0.857956,0.320797,2.01352,0.571142
1.811156463,0.433678,0.122793,0.105587,1.12236,0.310164,1.2279,0.0316513,0.527021,1.04455,0.213569,2.26792,0.808828
1.857596372,0.0487602,0.207331,0.0239812,0.211889,0.368804,1.58415,0.0041094,0.235423,1.10194,0.455871,2.53604,0.799426
1.904036281,0.0644968,0.639691,0.385421,0.0218933,0.135935,1.18762,0.000235086,0.0677301,1.16716,0.73189,2.67902,0.614554
1.950476190,0.0729932,0.0547569,0.597523,0.178849,0.061883,1.0918,0.0562003,0.436761,1.08545,0.928531,2.04497,0.907801
1.996916100,0.470921,0.0476165,0.748433,1.30908,0,0.29438,0.0243812,0.642031,0.877376,0.980978,1.77381,0.658748
2.043356009,0.581527,0.23429,0.681351,1.73293,0.00526529,0.378394,0,0.515421,0.493401,1.12676,1.4505,0.390744
2.089795918,0.568229,0.289123,0.482757,1.71559,0.00876807,0.716749,0,0.435859,0.388275,1.08653,1.57118,0.351726
2.136235828,0.452352,0.263065,0.202566,1.52975,0.0836095,0.993596,0.0898944,0.665358,0.457583,0.745629,1.85513,0.364128
2.182675737,0.274708,0.327166,0.12586,1.11157,0.153994,1.11673,0.108806,0.851925,0.603515,0.419249,2.07528,0.428271
2.229115646,0.00301211,0.278458,0.456705,0.795677,0.335344,1.74666,0.0804834,0.540603,0.898621,0.539174,2.03105,0.53064
2.275555556,0.000180409,0.224385,1.34613,0.0307223,0.29115,1.87495,0.0628065,0.141,1.37036,0.341561,2.10569,0.659383
2.321995465,0.000116706,0.129156,0.747466,0.157781,0.230392,1.02579,0.19152,0.523163,1.03474,0.420419,2.50699,0.298115
2.368435374,0.189421,0.0782247,0.548214,0.814581,0.0808665,0.663544,0.189037,0.486045,0.577432,0.742245,1.70993,0.816014
2.414875283,0.679895,0.0849292,0.79518,1.42155,0,0.396181,0.0468373,0.401996,0.41151,1.28484,1.531,0.385398
2.461315193,0.593742,0.200655,0.710179,1.80736,0,0.486996,0.0451576,0.416292,0.44417,1.3086,1.27453,0.308553
2.507755102,0.520239,0.282701,0.504736,1.82686,0,0.769668,0.187059,0.597753,0.391849,1.10367,1.37835,0.261425
