TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.046439909,-598.793,-32.2666,-9.01117,-9.12177,-1.47434,3.17686,-1.14372,-3.26773,-3.22864,-4.44644,0.28273,2.97219,-3.36892,-3.0461,0.848565,2.98046,-1.34579,-0.743199,2.87273,0.213632,0.444629
0.069659864,-486.895,-10.1937,12.8232,7.19475,5.31491,1.7003,-0.293231,0.525723,1.31487,1.47149,1.58606,1.40338,2.23317,1.28529,1.83476,1.84893,2.27888,3.17241,1.48303,-0.0125087,-1.36537
0.092879819,-483.06,-10.8838,12.7368,9.01279,7.65817,3.73771,1.72884,-0.386346,-0.903791,-2.18581,2.34476,3.97426,1.91911,-0.276957,0.72793,2.81637,2.3306,1.22589,1.64643,0.774862,1.79777
0.116099773,-481.545,-9.93241,9.7634,5.74168,5.42819,3.66863,4.15732,1.33185,2.25222,1.9172,2.52929,0.751945,1.05463,1.13454,0.144156,1.78962,0.33497,0.138147,0.879785,1.97495,0.356949
0.139319728,-452.97,-4.28192,9.28059,2.19769,0.491221,0.718273,3.83065,2.45047,-0.132889,-0.583088,1.61964,-0.624922,2.33269,-0.646507,2.82408,-0.340167,0.031903,-1.18114,-0.324428,0.667508,1.35984
0.162539683,-440.39,-7.5232,5.85977,-0.986579,-1.60337,-1.76753,2.44129,2.37766,-0.783546,-1.23644,2.20605,0.300261,2.58741,-0.608266,4.48483,1.84061,1.19931,0.281624,2.12865,1.39743,1.37284
0.185759637,-447.743,-4.4766,9.90081,3.96904,0.531768,-0.83514,3.13067,2.67866,-1.8569,-2.49857,-0.274538,-2.65542,-0.845094,-0.068558,2.20822,-0.0333469,1.99858,-0.640058,2.55901,1.35717,1.85016
0.208979592,-452.759,-3.9991,11.0256,3.26173,1.68038,-1.80954,1.82447,1.37076,-3.10844,-1.72873,1.6356,1.06315,1.90916,0.314572,2.94685,1.32813,1.54337,0.266748,0.85704,-0.37237,1.03298
0.232199546,-455.641,-4.3523,9.6676,3.61546,0.087236,-0.102953,2.25388,3.07815,-0.767415,-1.86164,1.95893,1.18242,2.23657,-1.34907,1.20419,0.712013,2.26019,0.111134,0.0305768,-0.26363,0.823798
0.255419501,-460.809,-5.21401,11.4269,5.86415,1.74716,-0.642329,4.1425,4.11709,0.354559,-1.78268,0.771822,-0.0543635,1.68781,-0.440131,1.01803,0.36461,0.628522,-0.0358614,1.78976,-0.608047,1.57226
0.278639456,-460.254,-4.50675,10.45,5.24756,2.0819,-0.0632874,2.62925,3.10276,-2.7486,-1.94007,1.14158,-0.556323,0.58872,-0.00528763,1.81801,0.931804,1.6863,0.982069,2.3955,0.292704,-0.539572
0.301859410,-464.975,-6.03956,10.0926,4.69116,2.86833,0.397074,2.85458,1.46277,-0.958659,-1.45893,1.26908,0.445024,1.29978,2.35568,3.19896,3.1023,3.2991,1.13862,1.20293,1.8212,-0.212006
0.325079365,-449.144,-2.62809,6.34612,-1.70882,-2.95904,-2.77424,3.44734,2.11293,-1.04394,-1.60133,0.793579,0.937357,1.70554,1.46042,4.99186,3.95564,2.38564,0.328307,2.01545,2.39822,3.27536
0.348299320,-459.665,-7.73065,5.70642,1.82058,-0.332483,-0.617538,5.97873,4.76193,1.52303,2.44594,-0.212075,-2.5178,-1.45831,0.0743361,4.42269,2.15958,2.7606,2.25599,1.59112,0.81787,0.238556
0.371519274,-466.508,-4.71028,12.0227,5.94764,4.30084,0.553208,2.44567,2.44321,-0.544495,-1.37468,0.0709205,-1.78579,0.295822,-0.60786,1.35892,2.13476,2.72627,0.205388,1.87658,0.2384,-0.477029
0.394739229,-456.078,-3.73062,9.96927,2.13685,-0.86341,-0.657214,4.62447,4.39931,-0.121663,-1.53175,2.29505,-0.871817,0.123863,0.33856,1.34054,1.16341,-0.245625,-2.13874,0.282651,1.28863,0.704797
0.417959184,-460.5,-3.32311,10.1617,2.92117,2.11012,-1.23181,1.85485,-0.0601617,-1.01442,-0.790173,0.548063,-1.06425,1.38388,0.870711,5.08531,3.32427,0.729014,0.554398,-0.801236,-0.332731,1.05083
0.441179138,-465.013,-5.60738,8.72924,2.48134,0.426167,-1.67852,1.04135,1.48846,0.815384,1.64654,1.9042,0.238165,2.56691,1.0152,1.12922,1.51102,3.8769,2.60092,5.22211,4.1745,2.6722
0.464399093,-467.42,-5.17803,10.5488,1.69313,3.45238,2.91287,3.51168,1.29005,-0.877652,-1.47565,0.9948,-0.154278,2.43179,2.67499,1.40427,0.453912,2.41823,2.85577,0.786758,0.386966,1.43392
0.487619048,-465.22,-4.38472,11.154,6.91826,4.09822,-1.65804,1.11978,0.262486,-0.740463,1.86493,2.77953,0.0809288,-1.75355,-1.61713,2.54472,1.48332,1.11345,0.95158,0.243966,1.29635,0.363586
0.510839002,-470.213,-4.44103,8.62444,4.6439,3.5888,1.04238,3.17835,0.330445,-0.729401,-0.314913,1.71262,-0.016535,0.896715,0.956613,1.39125,-0.820331,-0.420245,1.15255,1.4563,3.02749,1.96697
0.534058957,-473.504,-5.06176,10.0941,3.5439,2.1135,1.71632,3.05186,1.06091,1.18861,2.41244,2.30745,2.28972,2.43484,-0.637896,1.10269,2.9347,1.65106,-0.553048,0.340348,0.679077,0.756332
0.557278912,-475.956,-9.95849,8.97629,3.75214,4.64899,2.13258,2.23939,3.40405,0.433504,1.37832,2.17175,3.29986,4.46362,3.03737,3.53624,1.80173,-0.672145,0.0318653,-0.0325538,2.10498,1.36431
0.580498866,-473.67,-7.00073,9.2038,3.59284,4.19832,0.0236678,3.33345,3.75578,4.41247,1.26265,0.0563971,0.0465394,-0.508858,0.671437,2.74378,2.58476,1.91908,1.8043,0.486233,0.405774,-0.203527
0.603718821,-476.627,-6.37736,8.27687,1.17176,1.0934,1.28312,4.07289,3.11789,2.9585,0.728528,1.24777,2.45797,3.62474,4.43871,3.7993,3.48141,1.62758,-1.94584,1.13203,0.473348,-0.0154223
0.626938776,-470.562,-5.46228,11.1525,3.27757,4.50236,2.02659,3.63871,5.02904,3.33556,0.23908,0.622044,-0.353635,-0.395032,-1.04289,0.826027,-0.482716,0.151824,-1.07431,0.614469,0.933888,1.11521
0.650158730,-470.215,-6.46944,11.053,5.74078,4.88245,0.514841,0.276853,2.63574,-0.601078,-0.966106,1.37571,1.44653,1.29977,1.19638,2.09748,1.14791,-0.332028,-0.670046,1.16783,2.2735,1.62267
0.673378685,-466.49,-3.15497,8.47134,4.19401,2.49305,2.42408,2.59443,0.958675,0.263351,1.74223,3.70956,0.333759,1.05415,-0.151147,-0.59623,0.759745,1.42104,0.318714,0.315015,1.65326,0.869268
0.696598639,-468.924,-5.18803,9.68356,2.88491,1.54763,1.57012,4.74673,1.39587,-3.33487,0.14212,0.634681,1.29233,2.57508,1.08678,4.88864,2.96125,1.95748,0.53627,2.01371,2.7289,2.56689
0.719818594,-471.253,-2.87407,11.4887,3.82818,1.75532,-1.09668,1.08757,-1.12417,0.332695,2.36989,0.890623,1.85841,0.681349,2.80284,4.32616,2.05865,2.16414,2.0477,1.64408,-0.556331,-1.02752
