TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.964095,0.0993709,0.659535,0.0967268,0,2.03887,0.0118703,0.110095,0.0935619,0.316704,2.82481,0.0764944
0.046439909,0.950179,0.226892,0.628545,0.0670532,0,2.35786,0,0.0512344,0.214452,0.361219,2.78137,0.0336791
0.092879819,0.934105,0.307297,0.727895,0.0573623,0,2.46614,0.0192226,0.0204723,0.191782,0.399511,2.827,0.0078501
0.139319728,0.755442,0.289695,0.727066,0.0676034,0,2.6611,0.0162548,0.0275547,0.113869,0.462747,2.91095,0
0.185759637,0.453834,0.181876,0.699583,0.0722563,0,2.82554,0.0270603,0.0344558,0,0.489169,3.13347,0
0.232199546,0.253936,0.0494959,0.952288,0.0636991,0.0170069,3.08757,0.0284333,0.038156,0,0.48652,2.98221,0.0281713
0.278639456,0.16795,0.00128865,1.10571,0.0391222,0.0493336,3.06802,0.0111306,0.0349379,0,0.495335,3.01001,0.0488729
0.325079365,0.213252,0.000729029,1.02569,0.0271619,0.0274613,2.78105,0,0.0298999,0,0.505415,3.28546,0.0350272
0.371519274,0.192294,0.0466669,0.699597,0.0395719,0.0178227,2.67456,0.00449365,0.0286572,0.0235274,0.475498,3.58272,0
0.417959184,0.194656,0.0720326,0.944327,0.0594544,0.0102155,2.72394,0.0190275,0.0235496,0.091172,0.387369,3.58775,0
0.464399093,0.264053,0.113173,1.11923,0.0642307,0.0111046,2.65379,0.0225338,0.0201359,0.0949619,0.391243,3.46768,0
0.510839002,0.349602,0.114345,1.06419,0.056315,0,2.34471,0.0229934,0.021716,0.1008,0.360237,3.37014,0
0.557278912,0.251415,0.0772935,0.881452,0.0500303,0,2.36269,0.0273816,0.0319689,0.0831206,0.347853,3.38609,0
0.603718821,0.197566,0.0438911,0.908443,0.071002,0,2.4413,0.0244913,0.0407177,0.0721046,0.347374,3.51252,0.00564076
0.650158730,0.181773,0.0215903,0.948182,0.100627,0.0188703,2.73911,0.023507,0.0508089,0.0545848,0.290204,3.54124,0.00871573
0.696598639,0.178437,0.0740544,1.03755,0.116192,0.0153886,2.80796,0.0172533,0.0588087,0,0.26619,3.59837,0.0113266
0.743038549,0.17682,0.10306,0.840837,0.113525,0,2.71639,0.0173897,0.0641271,0,0.305158,3.60341,0.013556
0.789478458,0.163189,0.122978,0.602531,0.104683,0,2.59517,0.017739,0.0663981,0.000893463,0.348862,3.54469,0.014989
0.835918367,0.151355,0.0998458,0.947881,0.103752,0,2.38624,0.024875,0.0651695,0.0491362,0.308621,3.45699,0.0154529
0.882358277,0.314575,0.0993546,1.13351,0.0919348,0,2.02035,0.0286183,0.0587221,0.0870799,0.30335,3.42239,0.0164037
0.928798186,0.331804,0.0793007,1.06276,0.0882017,0,2.10412,0.0358096,0.0577378,0.110439,0.316876,3.44503,0.0174554
0.975238095,0.185012,0.0516804,0.862009,0.0819277,0.000291945,2.55827,0.0306898,0.061695,0.107129,0.295908,3.44527,0.0256198
1.021678005,0.16838,0.0668614,0.84361,0.0707533,0.00212728,2.75059,0.0190999,0.0590902,0.073434,0.262262,3.42966,0.08265
1.068117914,0.175076,0.0786875,0.875079,0.0648896,0,2.72333,0.00993565,0.052965,0.0574925,0.225969,3.35832,0.121244
1.114557823,0.194339,0.103699,0.791554,0.0591226,0,2.53496,0.0084919,0.0451855,0.0481046,0.190535,3.52114,0.0428276
1.160997732,0.194147,0.0928574,0.912958,0.0502595,0,2.47488,0.0046491,0.0357601,0.0384118,0.184759,3.53865,0.028328
1.207437642,0.180956,0.0657334,1.0824,0.0551568,0,2.53187,0.00561366,0.0243195,0.0336312,0.23792,3.50572,0.0318759
1.253877551,0.176036,0.0271553,0.936943,0.0497818,0.00747767,2.71976,0.00946932,0.0196054,0.0475383,0.360262,3.37976,0.0389691
1.300317460,0.162906,0.0483079,0.776741,0.0436656,0,2.69234,0.0117689,0.0297443,0.0138748,0.433641,3.30358,0.0359298
1.346757370,0.150197,0.103305,0.786692,0.0603606,0,2.42983,0.0104683,0.0417919,0,0.430654,3.49478,0.0275927
1.393197279,0.12532,0.0879378,0.716143,0.0903883,0,2.40897,0.0123796,0.04624,0,0.468161,3.62044,0.0306962
1.439637188,0.114414,0.0737279,0.554765,0.146178,0,2.35234,0.0174053,0.0452828,0.0690218,0.378095,3.58988,0.033109
1.486077098,0.127499,0.175123,0.783626,0.541644,0.0557944,1.77327,0.00687496,0.00391535,0.77872,0,3.35978,0.110573
1.532517007,0.153183,1.01762,0.354304,0.559038,0.0878419,1.26897,0.0214278,0,1.8807,0,2.66847,0.140701
1.578956916,0.280947,1.57161,0.00400072,0.68875,0.108243,1.21181,0.0587476,0,2.24847,0,2.13745,0.00634783
1.625396825,0.282229,1.91978,0.00489596,0.808929,0.0939623,1.21164,0.0379829,0,2.19749,0,1.91224,0.00730082
1.671836735,0.234684,2.008,0.0043203,0.833271,0.0589203,1.49694,0.0392931,0,2.37805,0,1.49505,0.0125219
1.718276644,0.178734,2.08266,0.00390718,0.814307,0.0197734,1.33291,0.0306751,0,2.67038,0,1.44816,0.0162203
1.764716553,0.156967,2.29017,0.00385645,0.798458,0.0167375,1.43244,0.027416,0,2.76193,0,1.37819,0.0163115
1.811156463,0.184097,2.83578,0.00388735,0.696732,0.101821,1.33692,0.023759,0,2.6716,0,1.28066,0.00870169
1.857596372,0.192627,2.82909,0.0152737,0.497315,0.168692,1.06363,0.0302655,0,2.93551,0,1.21185,0
1.904036281,0.183844,2.6961,0.0041613,0.456368,0.145702,1.03031,0.0333677,0,3.13051,0,1.24316,0
1.950476190,0.191414,2.94057,0.00410888,0.456239,0.103902,1.02365,0.0428254,0,2.91128,0,1.26108,0
1.996916100,0.179302,3.26684,0.00395698,0.387643,0.0749535,0.965347,0.0442325,0,2.70875,0,1.11184,0
2.043356009,0.150348,3.43838,0.00399122,0.238612,0.110141,0.99656,0.0378754,0,2.68734,0,0.790368,0
2.089795918,0.127378,3.63292,0.00419198,0.174896,0.132206,1.00616,0.0255786,0.00505548,2.75148,0,0.432342,0.00807693
2.136235828,0.118174,3.48913,0.0053415,0.167998,0.162063,0.993515,0.0262815,0.00718777,2.951,0,0.36254,0
2.182675737,0.145304,3.1922,0.0233097,0.167697,0.176151,1.11649,0.0359292,0.00700178,3.04068,0,0.615918,0
2.229115646,0.162973,3.25642,0.00551022,0.163838,0.201052,1.06971,0.0440765,0.0208776,2.56876,0,0.730363,0.00240806
2.275555556,0.178656,3.37513,0.00438083,0.154638,0.189362,1.04107,0.0411198,0.0215468,2.43134,0,0.567012,0.0571584
2.321995465,0.186228,3.46529,0.00420136,0.118555,0.193087,0.753146,0.0345662,0.00137941,2.73715,0,0.281802,0.0640759
2.368435374,0.193512,3.44053,0.00410515,0.233192,0.173863,0.751621,0.0291374,0,2.89156,0,0.0190828,0.0358448
2.414875283,0.205795,3.48375,0.00403095,0.358889,0.112307,1.1312,0.044643,0,2.74693,0,0.000285911,0
2.461315193,0.210693,3.58884,0.00399864,0.424013,0.120396,1.43939,0.0535751,0,2.44563,0,0.0174744,0.00983445
2.507755102,0.217465,3.5516,0.00401506,0.439403,0.121717,1.34816,0.0525361,0,2.39682,0,0.0664844,0.0589293
2.554195011,0.215417,3.5278,0.00402913,0.392205,0.106852,1.10833,0.0464816,0,2.62217,0,0.0717643,0.0632037
2.600634921,0.189128,3.4684,0.00405554,0.29059,0.0688363,1.21622,0.0434633,0,2.75821,0,0.166365,0.0249087
2.647074830,0.159983,3.46835,0.004077,0.294983,0.0823132,1.33844,0.0424783,0.00855492,2.5794,0,0.0534507,0.0309559
2.693514739,0.170134,3.72155,0.00404901,0.263515,0.153768,1.19051,0.0416725,0.023432,2.37195,0,0.00135803,0.0305233
2.739954649,0.181231,3.75986,0.00404919,0.206781,0.207716,1.0575,0.0396435,0.0127,2.4354,0,0.0016562,0.0366624
2.786394558,0.20372,3.68145,0.00402162,0.144772,0.1898,1.0545,0.0352667,0.00830107,2.52564,0,0.0020065,0.0232138
2.832834467,0.21138,3.41812,0.00394634,0.172856,0.143103,1.17588,0.0374677,0.0223172,2.64866,0,0.00171824,0.0389222
2.879274376,0.199445,3.0041,0.00383822,0.148812,0.115989,1.39134,0.0499629,0.0220405,2.94393,0,0.00125485,0.0123792
2.925714286,0.198647,3.11338,0.00379947,0.146289,0.141143,1.34165,0.0544798,0.0195209,2.90741,0,0.000495915,0.04157
2.972154195,0.187965,3.17507,0.00382966,0.14555,0.194656,1.35215,0.0508501,0.02634,2.81884,0,0.00043169,0.119054
3.018594104,0.200069,3.06843,0.0169223,0.185719,0.257581,1.24034,0.0377152,0.0315095,2.76206,0,0.000598273,0.155884
3.065034014,0.289402,2.97215,0.0668267,0.190341,0.166777,0.982854,0.00691258,0.560861,2.49768,0,0,0.0140195
3.111473923,1.9257,2.21324,0.00470414,0.0274608,0.149672,0.508915,0.0178492,0.691014,2.28203,0.000340683,0.000201136,0
3.157913832,2.63575,1.31263,0.0202911,0.278949,0.0997357,0.248386,0.243126,0.583788,2.64319,0.000269261,0.000339349,0
3.204353741,3.12268,0.685827,0.098126,0.881372,0.103565,0.239112,0.218575,0.482932,2.85546,0.000232427,0.000424014,0.00641562
3.250793651,3.23752,0.123878,0,0.47513,0.109618,0.418281,0.217201,0.489141,2.96291,0.0526615,0.00071709,0.0167305
3.297233560,3.18932,0,0,0.619404,0.141776,0.454159,0.323273,0.427202,2.75789,0.0331,0.00126081,0.0281642
3.343673469,3.10654,0.00643222,0,0.794479,0.152509,0.303,0.467214,0.417347,2.57992,0.0282131,0.00186622,0.0777872
3.390113379,3.04333,0.0763319,0,0.772935,0.143337,0.194285,0.526609,0.456126,2.43066,0.0293429,0.00123543,0.130343
3.436553288,3.06931,0.156816,0.0205909,0.483264,0.150643,0.153354,0.479497,0.50594,2.76934,0.0330713,0.00038183,0.0491851
3.482993197,2.95696,0.256089,0.067792,0.520176,0.138798,0.104549,0.537066,0.523721,2.79517,0.0335007,0,0.0216163
3.529433107,2.67494,0.374525,0.0861984,0.566512,0.123049,0.0309238,0.759194,0.529042,2.71631,0.029692,0,0.0845613
3.575873016,2.66707,0.41672,0.0573338,0.932149,0.126906,0.0141552,0.848578,0.503124,2.73188,0.0257502,0,0.0797176
3.622312925,2.81115,0.370161,0.037036,1.2695,0.157171,0.0559126,0.728739,0.396587,2.82371,0.0223887,0,0.0187649
3.668752834,2.87902,0.233929,0.0241199,1.38353,0.181704,0.143691,0.55462,0.338934,2.83991,0.0206022,9.68759e-05,0.0224694
3.715192744,2.79781,0.112299,0.0363001,1.33356,0.186686,0.127559,0.527346,0.372362,2.66334,0.0361941,0.000188698,0.104583
3.761632653,2.54105,0,0.0608719,1.15655,0.17217,0.102494,0.699889,0.43535,2.45672,0.0259924,0,0.190972
3.808072562,2.42335,0,0.100688,1.2264,0.138998,0.0683704,0.716033,0.483019,2.61331,0.0292443,0,0.178469
3.854512472,2.25454,0,0.0916982,1.4904,0.128351,0.0882397,0.663878,0.528568,2.73953,0.03205,0,0.117663
3.900952381,2.33656,0.144693,0.0330561,1.5438,0.13811,0.0967691,0.472851,0.555525,2.70637,0.0334924,0.000923911,0.0870745
3.947392290,2.567,0.152459,0.00722732,1.35718,0.14767,0.0968068,0.301816,0.507942,2.76504,0.0332786,0.00148728,0.0968485
3.993832200,2.66593,0,0.00919781,1.0457,0.146851,0.0390525,0.541939,0.439889,2.94795,0.0329034,0.000946289,0.163283
4.040272109,2.78235,0,0.0303201,0.850044,0.125769,0.0352386,0.602611,0.320596,3.08425,0.0337288,0.000714661,0.225616
4.086712018,2.91543,0,0.0225988,1.12279,0.125618,0.0868736,0.528928,0.273325,2.95136,0.0422724,0.000319864,0.198679
4.133151927,3.18253,0,0,1.3731,0.133117,0.121458,0.365448,0.369965,2.68458,0.0676723,0,0.049273
4.179591837,3.24746,0,0,1.52761,0.13493,0.0975738,0.351604,0.418894,2.73059,0.0308181,0,0.00264789
4.226031746,3.0911,0,0,1.4389,0.114778,0.0437592,0.570977,0.4949,3.04564,0.0278237,0.00031438,0.0790646
4.272471655,2.96802,0,0,1.5192,0.132494,0,0.693947,0.526227,3.05956,0.0282058,0.000398426,0.100996
4.318911565,2.92089,0,0,1.48016,0.152207,0.0141034,0.657197,0.579708,3.12549,0.0313748,0.000804351,0.0735715
4.365351474,2.86606,0,0,1.40623,0.171928,0.0815694,0.503994,0.477358,3.11257,0.00805099,0.000381542,0.0769517
4.411791383,2.80618,0,0,1.54002,0.17911,0.116028,0.566912,0.455914,2.86914,0.00064675,0,0.126386
4.458231293,2.87934,0,0,1.68135,0.182317,0.0762356,0.790823,0.445758,2.69693,0.000360015,0,0.139794
4.504671202,2.96456,0,0,1.55444,0.186268,0.0313327,0.842911,0.478854,2.81761,0.000395653,0,0.0958515
4.551111111,2.94007,0,0,1.13445,0.185893,0.0380874,0.80117,0.557015,2.81315,0.000544139,3.6647e-05,0.0474324
